species	phenology lower	phenology upper	mean phenology	year	latitude	longitude	mean centre latitude	grid_50km	grid_5km	tray
oak	116	116	116	2000	51.82229648	-2.87048405	-0.807184296	4 6	42 68	NA
oak	96	96	96	2000	51.54963937	0.242771631	-1.079841408	3 11	37 111	NA
oak	90	90	90	2000	50.92854113	-0.134469481	-1.700939649	2 10	23 106	NA
oak	115	115	115	2000	51.0099375	-0.106971304	-1.619543275	2 10	25 106	NA
oak	113	113	113	2000	53.1999554	-2.74820819	0.570474624	7 7	73 70	NA
oak	130	130	130	2000	53.74947892	-2.872904849	1.119998148	8 6	85 68	NA
oak	134	134	134	2000	54.53494726	-1.581162604	1.905466483	10 8	103 85	NA
oak	124	124	124	2000	52.57940522	-1.025957391	-0.050075554	5 9	59 93	NA
oak	94	94	94	2000	51.67508681	-0.597141498	-0.954393966	3 9	39 99	NA
oak	93	93	93	2000	51.61203648	-0.136911981	-1.017444292	3 10	38 105	NA
oak	89	89	89	2000	51.93595404	1.193146029	-0.69352674	4 12	46 123	NA
oak	141	141	141	2000	55.31373575	-3.763098358	2.684254975	12 5	120 57	NA
oak	121	121	121	2000	51.67748652	-2.368744056	-0.951994254	3 7	39 74	NA
oak	100	100	100	2000	50.20246713	-5.38941036	-2.427013645	0 3	7 31	NA
oak	122	122	122	2000	54.37407142	-2.909735513	1.744590642	9 6	99 68	NA
oak	141	141	141	2000	57.50321529	-4.237934616	4.87373452	16 5	169 53	NA
oak	100	100	100	2000	51.1350884	-3.201951742	-1.494392376	2 6	27 63	NA
oak	110	110	110	2000	52.33723931	0.517292853	-0.292241465	5 11	54 114	NA
oak	117	117	117	2000	52.83341281	0.583371305	0.203932039	6 11	65 114	NA
oak	135	135	135	2000	53.84643628	-1.560702232	1.216955503	8 8	87 85	NA
oak	134	134	134	2000	53.35192423	-1.520730985	0.722443453	7 8	76 86	NA
oak	128	128	128	2000	56.15297375	-5.466479432	3.523492975	14 3	140 36	NA
oak	101	101	101	2000	51.28344434	-0.632047936	-1.346036437	3 9	30 99	NA
oak	126	126	126	2000	52.37689876	-0.172467884	-0.252582012	5 10	55 104	NA
oak	103	103	103	2000	51.76879408	-1.334786626	-0.860686692	4 8	41 89	NA
