year,species,nest_date,hatch_date,fledge_date
2013,Ruddy_Turnstone,NA,18-07-12,18-07-18
2014,Ruddy_Turnstone,18-06-10,NA,NA
2015,Ruddy_Turnstone,NA,18-06-25,NA
2017,Ruddy_Turnstone,18-06-06,18-07-11,NA
2018,Ruddy_Turnstone,18-06-10,18-07-02,NA
2012,Sanderling,NA,NA,18-07-30
2005,Dunlin,18-06-08,18-07-02,NA
2006,Dunlin,NA,18-07-01,NA
2007,Dunlin,NA,18-07-01,NA
2008,Dunlin,18-06-07,18-06-29,18-07-18
2009,Dunlin,18-06-07,18-06-25,18-07-11
2010,Dunlin,18-06-07,18-07-05,18-07-23
2011,Dunlin,18-06-08,18-06-22,18-07-20
2012,Dunlin,18-06-10,18-06-29,18-07-19
2013,Dunlin,18-06-04,18-06-25,NA
2014,Dunlin,NA,18-06-30,18-07-16
2015,Dunlin,18-06-08,18-06-25,18-07-16
2016,Dunlin,18-06-04,18-06-21,18-07-12
2017,Dunlin,18-06-11,18-06-28,18-07-23
2018,Dunlin,18-06-12,18-07-02,18-07-29
2006,Bairds_Sandpiper,18-07-01,NA,NA
2007,Bairds_Sandpiper,18-07-05,18-07-06,NA
2008,Bairds_Sandpiper,18-06-24,18-06-30,NA
2009,Bairds_Sandpiper,18-06-20,NA,NA
2010,Bairds_Sandpiper,18-06-17,18-07-11,NA
2011,Bairds_Sandpiper,NA,18-07-24,18-07-25
2012,Bairds_Sandpiper,18-06-11,18-06-29,NA
2018,Bairds_Sandpiper,18-07-02,NA,NA
2005,White_rumped_Sandpiper,18-06-19,18-07-12,NA
2008,White_rumped_Sandpiper,18-06-22,18-07-11,NA
2009,White_rumped_Sandpiper,18-06-28,NA,NA
2010,White_rumped_Sandpiper,18-06-23,NA,NA
2011,White_rumped_Sandpiper,18-06-21,18-07-10,NA
2006,Buff_breasted_Sandpiper,18-06-19,NA,NA
2009,Buff_breasted_Sandpiper,18-06-22,18-07-08,NA
2012,Buff_breasted_Sandpiper,18-06-29,NA,NA
2005,Pectoral_Sandpiper,18-06-13,NA,18-07-19
2006,Pectoral_Sandpiper,18-06-10,18-07-03,NA
2008,Pectoral_Sandpiper,18-06-09,NA,NA
2009,Pectoral_Sandpiper,18-06-10,18-06-09,18-07-18
2010,Pectoral_Sandpiper,18-06-13,18-07-08,NA
2011,Pectoral_Sandpiper,18-06-06,18-06-25,18-07-26
2012,Pectoral_Sandpiper,18-06-06,18-06-26,18-07-19
2013,Pectoral_Sandpiper,18-06-05,18-06-27,18-07-28
2014,Pectoral_Sandpiper,18-06-09,18-07-04,18-07-22
2015,Pectoral_Sandpiper,18-05-29,18-06-20,18-07-15
2016,Pectoral_Sandpiper,18-06-05,18-06-22,18-07-08
2017,Pectoral_Sandpiper,18-06-08,18-07-11,NA
2018,Pectoral_Sandpiper,18-06-14,18-07-03,18-07-26
2005,Semipalmated_Sandpiper,18-06-13,NA,18-07-02
2006,Semipalmated_Sandpiper,18-06-08,18-06-30,NA
2007,Semipalmated_Sandpiper,NA,18-06-24,NA
2008,Semipalmated_Sandpiper,18-06-06,18-06-27,18-07-17
2009,Semipalmated_Sandpiper,18-06-06,18-06-25,y
2010,Semipalmated_Sandpiper,18-06-08,18-07-02,18-07-27
2011,Semipalmated_Sandpiper,18-06-02,18-06-21,18-07-10
2012,Semipalmated_Sandpiper,18-06-04,18-06-20,18-07-11
2013,Semipalmated_Sandpiper,18-06-06,18-06-24,18-07-11
2014,Semipalmated_Sandpiper,18-06-09,18-06-30,18-07-14
2015,Semipalmated_Sandpiper,18-06-04,18-06-19,18-07-04
2016,Semipalmated_Sandpiper,18-05-31,18-06-16,18-07-05
2017,Semipalmated_Sandpiper,18-06-07,18-07-02,18-07-10
2018,Semipalmated_Sandpiper,18-06-08,18-07-06,18-07-18
2006,Western_Sandpiper,18-07-02,NA,NA
2007,Western_Sandpiper,NA,18-07-22,NA
2008,Western_Sandpiper,18-06-18,18-07-09,NA
2009,Western_Sandpiper,18-06-06,18-07-05,y
2010,Western_Sandpiper,18-06-19,18-07-15,NA
2011,Western_Sandpiper,18-06-19,18-07-10,NA
2012,Western_Sandpiper,18-06-07,18-07-02,NA
2013,Western_Sandpiper,18-06-10,18-06-30,NA
2014,Western_Sandpiper,NA,18-07-03,NA
2015,Western_Sandpiper,18-06-08,18-07-05,18-07-16
2016,Western_Sandpiper,NA,18-06-20,18-07-02
2017,Western_Sandpiper,18-06-18,18-07-11,NA
2018,Western_Sandpiper,18-06-14,NA,NA
2005,Long_billed_Dowitcher,18-06-25,NA,NA
2006,Long_billed_Dowitcher,18-06-13,NA,NA
2007,Long_billed_Dowitcher,NA,18-07-02,NA
2008,Long_billed_Dowitcher,18-06-10,NA,NA
2009,Long_billed_Dowitcher,18-06-07,18-06-30,y
