YEAR,SEX,BIRTH_DATE,FAMILY,EARLY_SURVIVAL
96,1,142,0,1
96,2,142,0,1
96,2,144,0,0
96,2,144.5,0,1
96,2,145,0,0
96,1,147,0,0
96,2,148.5,0,0
96,2,120,85,0
96,1,120,85,1
96,2,130,86,0
96,2,130,86,0
96,2,136,87,0
96,1,136,87,1
96,2,136.5,88,0
96,1,136.5,88,0
96,2,137,89,0
96,1,137,89,0
96,2,131.5,90,0
96,2,131.5,90,1
96,2,138,91,0
96,2,138,91,1
96,1,141,92,0
96,2,141,92,1
96,1,143,93,0
96,2,143,94,0
96,2,143,94,0
96,1,141.5,95,1
96,2,141.5,95,1
96,2,149,96,0
96,2,149,96,1
96,1,148.5,97,0
96,1,148.5,97,0
97,1,123.5,0,1
97,1,126,0,0
97,1,127,0,0
97,2,128,0,0
97,1,128,0,0
97,1,130,0,1
97,2,130.5,0,0
97,2,131,0,1
97,2,132,0,0
97,2,132,0,1
97,1,133,0,0
97,1,134,0,1
97,1,134.5,0,0
97,1,135,0,0
97,1,137,0,0
97,1,137,0,0
97,2,138,0,1
97,2,138.5,0,0
97,1,138.5,0,1
97,1,139.5,0,0
97,2,140.5,0,0
97,2,142,0,1
97,1,143,0,0
97,2,144,0,0
97,1,144.5,0,0
97,1,145,0,0
97,1,145,0,1
97,1,145.5,0,1
97,1,145.5,0,1
97,2,146,0,1
97,1,148,0,1
97,1,129,98,0
97,1,129,98,1
97,1,130,99,1
97,2,130,99,1
97,2,130,100,1
97,1,130.5,100,0
97,1,134,101,0
97,2,134,101,1
97,2,128,102,0
97,2,128,102,0
97,1,138,103,0
97,1,138,103,1
97,1,141.5,104,1
97,2,141.5,104,1
97,1,146,105,0
97,1,146,105,0
97,2,142,106,0
97,2,142,106,0
97,1,145,107,0
97,2,145,107,0
98,2,128,0,0
98,1,131,0,1
98,2,131,0,1
98,1,135,0,1
98,1,135.5,0,0
98,1,135.5,0,0
98,2,136,0,0
98,1,136,0,1
98,1,137,0,0
98,2,138,0,1
98,2,138,0,1
98,1,139,0,0
98,2,141,0,1
98,1,142.5,0,0
98,2,147,0,0
98,2,153.5,108,0
98,2,153.5,108,0
98,1,151,109,1
98,1,151,109,1
98,2,149,110,1
98,2,149,110,1
98,1,149,111,0
98,2,149,111,1
98,2,141.5,112,1
98,2,141.5,112,1
98,2,140,113,0
98,1,140,113,0
98,2,134.5,114,1
98,2,134.5,114,1
98,1,135,115,0
98,1,135,115,1
98,1,134,116,0
98,2,134,116,1
98,2,127.5,117,1
98,1,127.5,117,1
98,1,127,0,1
98,1,128,0,0
99,1,127,0,0
99,1,129,0,1
99,2,132,0,1
99,1,133,0,0
99,2,134.5,0,0
99,2,135,0,0
99,1,135,0,1
99,1,135.5,0,1
99,1,137.5,0,0
99,2,138.5,0,0
