book_page,year,site,bander,date,time,nestID,unique_nestID,plot,plotLmt,band_in,band_out,original_band,species,dead,current_double_banded,color_combo_different,band_change,recap_betw_year,recap_witn_year,how_cap,stage_of_capt,ul_in,ll_in,ur_in,lr_in,gfe_in,ul_out,ll_out,ur_out,lr_out,gfe_out,picture,rel_status,ffm_s10,ffm_s9,ffm_s8,ffm_s7,ffm_s6,ffm_s5,ffm_s4,ffm_s3,ffm_s2,ffm_s1,ffm_p1,ffm_p2,ffm_p3,ffm_p4,ffm_p5,ffm_p6,ffm_p7,ffm_p8,ffm_p9,ffm_p10,tfm_1,tfm_2,tfm_3,tfm_4,tfm_5,tfm_6,bm_head,bm_neck,bm_back,bm_brst,bm_abd,culmen,total_head,tarsus,wing,toe,fat,weight,cone_wt,final_wt,field_sex,CHD_sex,DFA_score,DFA_sex,final_sex,how_sex,age,how_age,lat_corrected,long_corrected,total_blood_amt,genetic_blood_capillary_tube,genetic_blood_preservative,Hg_blood,ecotox_blood,stable_isotope_blood,malaria_blood,immune_blood,total_feathers_coll,Hg_feathers,pesa_feathers,contaminant_feathers,moss_feathers,AI_cloaca,AI_oral,AI_feces,fecal_sample,geo_serial_number,gps_tag_number,radio_transmitter,comments
1.11,2003,barr,ataylor,03-06-20,16,dunl305,03dunl305,brw1,in,NA,168181034,168181034,dunl,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"r,o",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8,61.2,27.9,128,22,1,83,18.5,64.5,f,NA,39.48116,NA,f,chd,ahy,plumage,71.29637,-156.63116,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.12,2003,barr,ataylor,03-06-20,1510,NA,NA,brw2,out,NA,171173412,171173412,reph,NA,n,n,n,n,n,mist net,breeding,-,-,-,-,NA,-,"r,gf",m,"r,dg",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,45.9,22.6,133,21.3,1,68.5,18.5,50,m,NA,NA,NA,m,plumage,ahy,plumage,NA,NA,90,NA,longmire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.13,2003,barr,ataylor,03-06-20,1614,sesa506,03sesa506,brw2,in,NA,171173413,171173413,sesa,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"dg,lg",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.8,38.4,21.9,99,17.6,2,51,18.5,32.5,f,NA,NA,NA,f,culmen,ahy,plumage,71.2921,-156.65694,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.14,2003,barr,ataylor,03-06-20,1635,dunl202,03dunl202,brw2,in,NA,168181035,168181035,dunl,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"o,dg",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9,63.6,25.7,121,21.1,2,71.5,18.5,53,m,NA,36.21613,NA,m,chd,sy,plumage,71.29284,-156.65609,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.15,2003,barr,ataylor,03-06-20,1731,amgp505,03amgp505,brw2,in,NA,157374701,157374701,amgp,NA,n,n,n,n,n,bownet,inc,-,-,-,-,NA,"r,gf",-,"m,dg,lg",-,NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,58.5,46.9,189,25.8,0,164,19,145,f,NA,NA,NA,f,plumage,ahy,plumage,71.29257,-156.65398,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.16,2003,barr,ataylor,03-06-20,1813,sesa502,03sesa502,brw2,in,NA,171173414,171173414,sesa,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"r,o",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7,37.8,21,93,18.2,1,50.5,18.5,32,f,NA,NA,NA,f,culmen,ahy,plumage,71.29558,-156.65136,30,NA,longmire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.17,2003,barr,ataylor,03-06-20,1959,reph409,03reph409,brw2,in,NA,168181036,168181036,reph,NA,n,n,n,n,n,bownet,inc,-,-,-,-,NA,-,"r,gf",m,"r,y",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,44.8,22.2,131,21.1,0,67,18.5,48.5,m,NA,NA,NA,m,plumage,ahy,plumage,71.29201,-156.64988,20,NA,longmire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.18,2003,barr,rlanctot,03-06-22,1239,dunl508,03dunl508,brw2,out,163121610,163121610,163121610,dunl,NA,n,y,y,y,n,bownet,inc,-,"lb,m",gf,-,NA,-,"r,gf",m,"o,db",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4,62,26.5,125,21,1,79.5,18.5,61,f,f,37.63072,NA,f,chd,sy,plumage,71.29653,-156.64734,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"old band combo was: -/lb,m:gf/-"
1.19,2003,barr,rlanctot,03-06-22,1407,dunl306,03dunl306,brw1,in,NA,168181041,168181041,dunl,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"o,r",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,57.6,26.5,119,21,1,74,18.5,55.5,m,NA,35.67664,NA,m,chd,ahy,plumage,71.2985,-156.63872,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.2,2003,barr,rlanctot,03-06-22,1425,reph310,03reph310,brw1,in,NA,168181042,168181042,reph,NA,n,n,n,n,n,bownet,inc,-,-,-,-,NA,-,"r,gf",m,"y,y",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50.7,24,135,23.6,0,70,18.5,51.5,m,NA,NA,NA,m,plumage,ahy,plumage,71.29805,-156.6408,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,foot was paralyzed
