year,day,species,mass,,,
1997,23,REKN,153,,,
1997,23,REKN,96,,,
1997,23,REKN,180,,,
1997,23,REKN,170,,,
1997,23,REKN,176,,,
1997,23,REKN,150,,,
1997,23,REKN,108,,,
1997,23,REKN,90,,,
1997,23,REKN,183,,,
1997,23,REKN,135,,,
1997,23,REKN,198,,,
1997,23,REKN,132,,,
1997,23,REKN,175,,,
1997,23,REKN,148,,,
1997,23,REKN,152,,,
1997,23,REKN,124,,,
1997,23,REKN,150,,,
1997,23,REKN,174,,,
1997,23,REKN,172,,,
1997,23,REKN,158,,,
1997,23,REKN,130,,,
1997,23,REKN,154,,,
1997,23,REKN,144,,,
1997,23,REKN,197,,,
1997,23,REKN,160,,,
1997,23,REKN,158,,,
1997,23,REKN,182,,,
1997,23,REKN,180,,,
1997,23,REKN,149,,,
1997,23,REKN,163,,,
1997,23,REKN,177,,,
1997,23,REKN,190,,,
1997,23,REKN,170,,,
1997,23,REKN,181,,,
1997,23,REKN,100,,,
1997,23,REKN,109,,,
1997,23,REKN,168,,,
1997,23,REKN,138,,,
1997,23,REKN,157,,,
1997,23,REKN,105,,,
1997,23,REKN,114,,,
1997,23,REKN,99,,,
1997,23,REKN,155,,,
1997,23,REKN,160,,,
1997,23,REKN,160,,,
1997,23,REKN,115,,,
1997,23,REKN,119,,,
1997,23,REKN,176,,,
1997,23,REKN,189,,,
1997,23,REKN,174,,,
1997,23,REKN,190,,,
1997,23,REKN,166,,,
1997,23,REKN,169,,,
1997,23,REKN,138,,,
1997,23,REKN,110,,,
1997,23,REKN,145,,,
1997,23,REKN,176,,,
1997,23,REKN,165,,,
1997,23,REKN,193,,,
1997,23,REKN,148,,,
1997,23,REKN,190,,,
1997,23,REKN,184,,,
1997,23,REKN,170,,,
1997,23,REKN,137,,,
1997,23,REKN,174,,,
1997,23,REKN,167,,,
1997,23,REKN,159,,,
1997,23,REKN,168,,,
1997,23,REKN,148,,,
1997,23,REKN,144,,,
1997,23,REKN,110,,,
1997,23,REKN,175,,,
1997,23,REKN,187,,,
1997,23,REKN,165,,,
1997,23,REKN,160,,,
1997,23,REKN,160,,,
1997,23,REKN,110,,,
1997,23,REKN,133,,,
1997,23,REKN,160,,,
1997,23,REKN,146,,,
1997,23,REKN,185,,,
1997,23,REKN,141,,,
1997,23,REKN,180,,,
1997,23,REKN,136,,,
1997,23,REKN,187,,,
1997,23,REKN,194,,,
1997,23,REKN,136,,,
1997,23,REKN,178,,,
1997,23,REKN,178,,,
1997,23,REKN,162,,,
1997,23,REKN,160,,,
1997,23,REKN,142,,,
1997,23,REKN,196,,,
1997,23,REKN,172,,,
1997,23,REKN,156,,,
1997,23,REKN,141,,,
1997,23,REKN,116,,,
1997,23,REKN,155,,,
1997,23,REKN,154,,,
1997,23,REKN,191,,,
1997,23,REKN,172,,,
1997,23,REKN,140,,,
1997,23,REKN,160,,,
1997,23,REKN,190,,,
1997,23,REKN,97,,,
1997,23,REKN,176,,,
1997,23,REKN,196,,,
1997,23,REKN,168,,,
1997,23,REKN,165,,,
1997,23,REKN,142,,,
1997,23,REKN,177,,,
1997,23,REKN,103,,,
1997,23,REKN,136,,,
1997,23,REKN,166,,,
1997,23,REKN,127,,,
1997,23,REKN,139,,,
1997,23,REKN,165,,,
1997,23,REKN,152,,,
1997,23,REKN,164,,,
1997,23,REKN,131,,,
1997,23,REKN,144,,,
1997,23,REKN,134,,,
1997,23,REKN,131,,,
1997,23,REKN,201,,,
1997,23,REKN,158,,,
1997,23,REKN,171,,,
1997,23,REKN,115,,,
1997,23,REKN,151,,,
1997,23,REKN,139,,,
1997,23,REKN,199,,,
1997,23,REKN,136,,,
1997,23,RUTU,87,,,
1997,23,RUTU,118,,,
1997,23,RUTU,124,,,
1997,23,RUTU,116,,,
1997,23,RUTU,146,,,
1997,23,RUTU,106,,,
1997,23,RUTU,132,,,
1997,23,RUTU,128,,,
1997,23,RUTU,112,,,
1997,23,RUTU,115,,,
1997,23,RUTU,100,,,
1997,23,RUTU,149,,,
1997,23,RUTU,95,,,
1997,23,RUTU,113,,,
1997,24,REKN,189,,,
1997,24,REKN,179,,,
1997,24,REKN,187,,,
1997,24,REKN,213,,,
1997,24,REKN,176,,,
1997,24,REKN,190,,,
1997,24,REKN,209,,,
1997,24,REKN,182,,,
1997,24,REKN,167,,,
1997,24,REKN,176,,,
1997,24,REKN,185,,,
1997,24,REKN,176,,,
1997,24,REKN,172,,,
1997,24,REKN,159,,,
1997,24,REKN,160,,,
1997,24,REKN,172,,,
1997,24,REKN,201,,,
1997,24,REKN,143,,,
1997,24,REKN,222,,,
1997,24,REKN,163,,,
1997,24,REKN,178,,,
1997,24,REKN,157,,,
1997,24,REKN,175,,,
1997,24,REKN,191,,,
1997,24,REKN,186,,,
1997,24,REKN,183,,,
1997,24,REKN,159,,,
1997,24,REKN,187,,,
1997,24,REKN,208,,,
1997,24,REKN,183,,,
1997,24,REKN,177,,,
1997,24,REKN,197,,,
1997,24,REKN,190,,,
1997,24,REKN,190,,,
1997,24,REKN,180,,,
1997,24,REKN,156,,,
1997,24,REKN,180,,,
1997,24,REKN,213,,,
1997,24,REKN,198,,,
1997,24,REKN,180,,,
1997,24,REKN,194,,,
1997,24,REKN,135,,,
1997,24,REKN,123,,,
1997,24,REKN,178,,,
1997,24,REKN,176,,,
1997,24,REKN,210,,,
1997,24,REKN,156,,,
1997,24,REKN,119,,,
1997,24,REKN,172,,,
1997,24,REKN,170,,,
1997,24,REKN,139,,,
1997,24,REKN,165,,,
1997,24,REKN,188,,,
1997,24,REKN,192,,,
1997,24,REKN,185,,,
1997,24,REKN,173,,,
1997,24,REKN,161,,,
1997,24,REKN,155,,,
1997,24,REKN,173,,,
1997,24,REKN,169,,,
1997,24,REKN,146,,,
1997,24,REKN,179,,,
1997,24,REKN,169,,,
1997,24,REKN,181,,,
1997,24,REKN,204,,,
1997,24,REKN,192,,,
1997,24,REKN,200,,,
1997,24,REKN,179,,,
1997,24,REKN,145,,,
1997,24,REKN,181,,,
1997,24,REKN,188,,,
1997,24,REKN,211,,,
1997,24,REKN,159,,,
1997,24,REKN,159,,,
1997,24,REKN,175,,,
1997,24,REKN,174,,,
1997,24,REKN,185,,,
1997,24,REKN,193,,,
1997,24,REKN,116,,,
1997,24,REKN,204,,,
1997,24,REKN,212,,,
1997,24,REKN,189,,,
1997,24,REKN,167,,,
1997,24,REKN,181,,,
1997,24,REKN,177,,,
1997,24,REKN,203,,,
1997,24,REKN,210,,,
1997,24,REKN,167,,,
1997,24,REKN,165,,,
1997,24,REKN,200,,,
1997,24,REKN,189,,,
1997,24,REKN,187,,,
1997,24,REKN,185,,,
1997,24,REKN,183,,,
1997,24,REKN,189,,,
1997,24,REKN,189,,,
1997,24,REKN,210,,,
1997,24,REKN,171,,,
1997,24,REKN,189,,,
1997,24,REKN,141,,,
1997,24,REKN,199,,,
1997,24,REKN,110,,,
1997,24,REKN,141,,,
1997,24,REKN,177,,,
1997,24,REKN,175,,,
1997,24,REKN,193,,,
1997,24,REKN,119,,,
1997,24,REKN,166,,,
1997,24,REKN,167,,,
1997,24,REKN,185,,,
1997,24,REKN,204,,,
1997,24,REKN,186,,,
1997,24,REKN,176,,,
1997,24,REKN,169,,,
1997,24,REKN,153,,,
1997,24,REKN,182,,,
1997,24,REKN,203,,,
1997,24,REKN,195,,,
1997,24,REKN,186,,,
1997,24,REKN,160,,,
1997,24,REKN,173,,,
1997,24,REKN,120,,,
1997,24,REKN,191,,,
1997,24,REKN,121,,,
1997,24,REKN,192,,,
1997,24,REKN,148,,,
1997,24,REKN,191,,,
1997,24,REKN,179,,,
1997,24,REKN,193,,,
1997,24,REKN,171,,,
1997,24,REKN,184,,,
1997,24,REKN,187,,,
1997,24,REKN,180,,,
1997,24,REKN,165,,,
1997,24,REKN,199,,,
1997,24,REKN,212,,,
1997,24,REKN,157,,,
1997,24,REKN,162,,,
1997,24,REKN,191,,,
1997,24,REKN,165,,,
1997,24,REKN,172,,,
1997,24,REKN,187,,,
1997,24,REKN,161,,,
1997,24,REKN,177,,,
1997,24,REKN,207,,,
1997,24,REKN,167,,,
1997,24,REKN,169,,,
1997,24,REKN,141,,,
1997,24,REKN,187,,,
1997,24,REKN,139,,,
1997,24,REKN,138,,,
1997,24,REKN,151,,,
1997,24,REKN,177,,,
1997,24,REKN,213,,,
1997,24,REKN,188,,,
1997,24,REKN,183,,,
1997,24,REKN,177,,,
1997,24,REKN,214,,,
1997,24,REKN,115,,,
1997,24,REKN,188,,,
1997,24,REKN,113,,,
1997,24,REKN,198,,,
1997,24,REKN,173,,,
1997,24,REKN,160,,,
1997,24,REKN,166,,,
1997,24,REKN,206,,,
1997,24,REKN,177,,,
1997,24,REKN,194,,,
1997,24,REKN,150,,,
1997,24,REKN,211,,,
1997,24,REKN,194,,,
1997,24,REKN,163,,,
1997,24,REKN,136,,,
1997,24,REKN,190,,,
1997,24,REKN,191,,,
1997,24,REKN,171,,,
1997,24,REKN,204,,,
1997,24,REKN,163,,,
1997,24,REKN,188,,,
1997,24,REKN,205,,,
1997,24,REKN,178,,,
1997,24,REKN,206,,,
1997,24,REKN,167,,,
1997,24,REKN,200,,,
1997,24,REKN,175,,,
1997,24,REKN,190,,,
1997,24,REKN,165,,,
1997,24,REKN,110,,,
1997,24,REKN,175,,,
1997,24,REKN,181,,,
1997,24,REKN,170,,,
1997,24,REKN,136,,,
1997,24,REKN,174,,,
1997,24,REKN,185,,,
1997,24,REKN,208,,,
1997,24,REKN,159,,,
1997,24,REKN,179,,,
1997,24,REKN,155,,,
1997,24,REKN,165,,,
1997,24,REKN,204,,,
1997,24,REKN,183,,,
1997,24,REKN,161,,,
1997,24,REKN,186,,,
1997,24,REKN,176,,,
1997,24,REKN,193,,,
1997,24,REKN,195,,,
1997,24,REKN,191,,,
1997,24,REKN,166,,,
1997,24,REKN,200,,,
1997,24,REKN,133,,,
1997,24,REKN,147,,,
1997,24,REKN,170,,,
1997,24,REKN,209,,,
1997,24,REKN,131,,,
1997,24,REKN,151,,,
1997,24,REKN,193,,,
1997,24,REKN,159,,,
1997,24,REKN,198,,,
1997,24,REKN,211,,,
1997,24,REKN,172,,,
1997,24,REKN,173,,,
1997,24,REKN,175,,,
1997,24,REKN,177,,,
1997,24,REKN,192,,,
1997,24,REKN,148,,,
1997,24,REKN,170,,,
1997,24,REKN,175,,,
1997,24,REKN,190,,,
1997,24,REKN,186,,,
1997,24,REKN,174,,,
1997,24,REKN,165,,,
1997,24,REKN,213,,,
1997,24,REKN,186,,,
1997,24,REKN,168,,,
1997,24,REKN,180,,,
1997,24,REKN,210,,,
1997,24,REKN,192,,,
1997,24,REKN,163,,,
1997,24,REKN,203,,,
1997,24,REKN,176,,,
1997,24,REKN,178,,,
1997,24,REKN,203,,,
1997,24,REKN,190,,,
1997,24,REKN,157,,,
1997,24,REKN,175,,,
1997,24,REKN,163,,,
1997,24,REKN,175,,,
1997,24,REKN,210,,,
1997,24,REKN,187,,,
1997,24,RUTU,100,,,
1997,24,RUTU,115,,,
1997,24,RUTU,116,,,
1997,24,RUTU,135,,,
1997,24,RUTU,127,,,
1997,24,RUTU,143,,,
1997,24,RUTU,141,,,
1997,24,RUTU,107,,,
1997,24,RUTU,145,,,
1997,24,RUTU,140,,,
1997,24,RUTU,156,,,
1997,24,RUTU,122,,,
1997,24,RUTU,115,,,
1997,24,RUTU,133,,,
1997,24,RUTU,165,,,
1997,24,RUTU,130,,,
1997,24,RUTU,121,,,
1997,24,RUTU,145,,,
1997,24,RUTU,111,,,
