book_page,year,site,bander,date,time,nestID,unique_nestID,plot,plotLmt,band,species,chick_egg_number,recap_witn_year,stage_of_capt,ul,ll,ur,lr,gfe,rel_status,dead,culmen,tarsus,wing,weight,cone_wt,final_wt,est_age,lat,long,blood,genetic_blood_capillary_tube,genetic_blood_preservative,stable_isotope,buccal,color,gut,radio_transmitter,comments
NA,2003,barr,breed2003,03-07-10,NA,reph322,03reph322,brw4,in,168180558,reph,chick4,n,nest,-,r,m,-,NA,band/rel,n,8,19.7,NA,NA,NA,5.5,0,71.26192,-156.49722,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-10,NA,reph308,03reph308,brw4,in,168180559,reph,chick2,n,nest,-,r,m,-,NA,band/rel,n,9.3,19.3,NA,NA,NA,6,1,71.26386,-156.48467,40,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-10,NA,reph308,03reph308,brw4,in,168180560,reph,chick3,n,nest,-,r,m,-,NA,band/rel,n,8.3,19.1,NA,NA,NA,5.5,1,71.26386,-156.48467,45,NA,NA,NA,NA,NA,NA,NA,NA
3.incidental,2003,barr,breed2003,03-07-10,NA,dunlB,03dunlB,brw3,NA,168180561,dunl,chick1,n,brood,"gf,r",-,-,m,NA,band/rel,n,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-10,NA,reph015,03reph015,brw3,in,168180562,reph,chick1,n,brood,-,r,m,-,NA,band/rel,n,9.7,19.8,NA,NA,NA,8.5,3,71.26869,-156.52142,NA,NA,NA,NA,NA,NA,NA,NA,hatched early; found brood on plot 3 away from nest; only 2 chicks seen
NA,2003,barr,breed2003,03-07-10,NA,reph015,03reph015,brw3,in,168180563,reph,chick2,n,brood,-,r,m,-,NA,band/rel,n,9.9,20.4,NA,NA,NA,9.5,3,71.26869,-156.52142,NA,NA,NA,NA,NA,NA,NA,NA,hatched early; found brood on plot 3 away from nest; only 2 chicks seen
NA,2003,barr,breed2003,03-07-14,NA,pesa204,03pesa204,brw2,in,168180566,pesa,chick1,n,nest,-,r,m,-,NA,band/rel,n,12.5,24.4,NA,NA,NA,7.5,1,71.29404,-156.6559,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-14,NA,pesa204,03pesa204,brw2,in,168180567,pesa,chick2,n,nest,-,r,m,-,NA,band/rel,n,12,25.2,NA,NA,NA,8,1,71.29404,-156.6559,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-14,NA,pesa204,03pesa204,brw2,in,168180568,pesa,chick3,n,nest,-,r,m,-,NA,band/rel,n,12.7,23.7,NA,NA,NA,7.5,1,71.29404,-156.6559,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-14,NA,pesa204,03pesa204,brw2,in,168180570,pesa,chick4,n,nest,-,r,m,-,NA,band/rel,n,13.1,24.6,NA,NA,NA,8,1,71.29404,-156.6559,70,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-14,NA,reph317,03reph317,brw1,in,168180571,reph,chick1,n,nest,-,r,m,-,NA,band/rel,n,8.5,19.3,NA,NA,NA,4.5,1,71.30025,-156.63908,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-14,NA,reph317,03reph317,brw1,in,168180572,reph,chick2,n,nest,-,r,m,-,NA,band/rel,n,8.5,18.9,NA,NA,NA,5,1,71.30025,-156.63908,60,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-14,NA,reph317,03reph317,brw1,in,168180573,reph,chick3,n,nest,-,r,m,-,NA,band/rel,n,7.8,20.7,NA,NA,NA,5,1,71.30025,-156.63908,45,NA,NA,NA,NA,NA,NA,NA,band found in pellet on 7 Aug 2008
NA,2003,barr,breed2003,03-07-14,NA,dunl012,03dunl012,brw3,out,168180574,dunl,chick1,n,nest,"gf,r",-,-,m,NA,band/rel,n,11.2,23,NA,NA,NA,8,1,71.265,-156.52577,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-14,NA,dunl012,03dunl012,brw3,out,168180575,dunl,chick2,n,nest,"gf,r",-,-,m,NA,band/rel,n,12.2,22.8,NA,NA,NA,7,1,71.265,-156.52577,100,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-14,NA,dunl012,03dunl012,brw3,out,168180576,dunl,chick3,n,nest,"gf,r",-,-,m,NA,band/rel,n,11.4,23.7,NA,NA,NA,8,1,71.265,-156.52577,40,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-14,NA,dunl012,03dunl012,brw3,out,168180577,dunl,chick4,n,nest,"gf,r",-,-,m,NA,band/rel,n,11.7,24.6,NA,NA,NA,8.5,1,71.265,-156.52577,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-16,NA,dunl104,03dunl104,brw3,in,168180579,dunl,chick1,n,nest,"gf,r",-,-,m,NA,band/rel,n,11.7,23.1,NA,NA,NA,8,0,71.26943,-156.5268,60,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-16,NA,dunl104,03dunl104,brw3,in,168180580,dunl,chick2,n,nest,"gf,r",-,-,m,NA,band/rel,n,11.2,23.1,NA,NA,NA,8,0,71.26943,-156.5268,65,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-16,NA,dunl104,03dunl104,brw3,in,168180581,dunl,chick3,n,nest,"gf,r",-,-,m,NA,band/rel,n,11,22.2,NA,NA,NA,8,0,71.26943,-156.5268,55,NA,NA,NA,NA,NA,NA,NA,NA
4.incidental,2003,barr,breed2003,03-07-16,NA,pesaC,03pesaC,brw4,NA,168180583,pesa,chick1,n,brood,-,r,m,-,NA,band/rel,n,17.8,27.6,NA,NA,NA,30.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,female not captured; abandoned chick
