,id,year,birth,weight,onset_autumn,onset_spring,reproductive_status,agecl2,agecl3,demo,democrash,democrashlag,crash,crashlag
226,152,2011,123.7222006,0.071428571,290,70,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
227,154,2011,113.5524802,0.111111111,290,70,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
228,155,2011,140.5355018,0.2,290,70,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
229,160,2011,152.3221265,0.043478261,290,70,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
230,167,2011,135.1371338,0.166666667,290,70,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
231,168,2011,113.1502468,0.142857143,290,70,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
232,169,2011,126.8647812,0.142857143,290,70,no young,2-3-yrs old,1prim,aprs2002,aprs2003,aprs2003,other years,autres
233,170,2011,113.1502468,0.142857143,290,70,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
234,172,2011,119.6733238,0.125,290,70,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
235,175,2011,143.5685213,0.037037037,290,70,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
236,177,2011,134.7000534,0.05,290,70,no young,2-3-yrs old,1prim,aprs2002,aprs2003,aprs2003,other years,autres
237,191,2011,144.2417113,0.032258065,290,70,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
