year,mismatch_med,mismatch_low,mismatch_high
1996,-3.17638,-26.1126,0.978753
1997,-3.58273,-28.9289,7.96853
1998,-20.8588,-24.5153,-10.8035
1999,-3.97983,-20.3509,-0.655828
2000,-10.6187,-21.5051,-3.63797
2001,-12.8534,-25.651,-2.04986
2002,-19.6584,-32.4563,-12.7608
2003,-11.0896,-16.9898,4.28435
2004,-10,-17.6455,-6.42654
2005,-9.40908,-20.711,1.06186
